,frame,average_for_this_video_SEPARATION_pinna_ear_left_to_mouth_corner_left,SEPARATION_pinna_ear_left_to_mouth_corner_left,average_for_this_video_SEPARATION_pinna_ear_right_to_mouth_corner_right,SEPARATION_pinna_ear_right_to_mouth_corner_right,happy,average_for_this_video_SEPARATION_pinna_ear_left_inner_brow_left,SEPARATION_pinna_ear_left_inner_brow_left,average_for_this_video_SEPARATION_pinna_ear_right_inner_brow_right,SEPARATION_pinna_ear_right_inner_brow_right,scared_sad,average_for_this_video_SEPARATION_upper_lip_to_lower_lip,SEPARATION_upper_lip_to_lower_lip,average_for_this_video_SEPARATION_pinna_ear_left_to_nose_corner_left,SEPARATION_pinna_ear_left_to_nose_corner_left,average_for_this_video_SEPARATION_pinna_ear_right_to_nose_corner_right,SEPARATION_pinna_ear_right_to_nose_corner_right,angry_disgusted,average_for_this_video_SEPARATION_pinna_ear_left_to_pinna_ear_right,SEPARATION_pinna_ear_left_to_pinna_ear_right,ears_apart,ears_tilted,brows_tilted,nose_tilted,mouth_tilted,suprised
56,54,327.7203284802666,242.9611819858106,502.42287643562145,247.76957533534673,63.010370333582586,178.45414740797662,81.28183624560234,163.79409037648512,74.18556767392407,55.764670475712194,49.384335236925835,21.588879149542663,264.33920519672085,186.20716043093694,246.37970266439223,210.34640881901578,40.0,165.44702592936505,143.74879621352656,False,False,False,False,False,28.0
57,55,327.7203284802666,246.28186076915986,502.42287643562145,243.2856669599289,62.87665461630252,178.45414740797662,101.14417055638533,163.79409037648512,74.95649095307608,54.45118215983149,49.384335236925835,21.186981882765977,264.33920519672085,197.69341414960206,246.37970266439223,208.0643886392777,40.0,165.44702592936505,167.4840591565045,False,False,True,False,False,28.0
58,56,327.7203284802666,247.95677277144526,502.42287643562145,243.67925812674375,62.80920995381677,178.45414740797662,96.34313644913956,163.79409037648512,75.66386334185619,54.768672647371446,49.384335236925835,21.320513511362197,264.33920519672085,194.52022588528874,246.37970266439223,208.04700019664793,40.0,165.44702592936505,163.00959593424076,False,False,False,False,False,28.0
59,57,327.7203284802666,249.57253202304813,502.42287643562145,243.16785797714618,62.744147229784765,178.45414740797662,95.20221198432829,163.79409037648512,76.16657801217535,54.84412153119264,49.384335236925835,21.46211734573154,264.33920519672085,194.16061631864423,246.37970266439223,208.03304214864883,40.0,165.44702592936505,160.24563611900226,False,False,False,False,False,28.0
60,58,327.7203284802666,248.49700843171865,502.42287643562145,245.4340207980755,62.787455968102776,178.45414740797662,96.55194545650166,163.79409037648512,75.38867355854092,54.754864190262154,49.384335236925835,20.528703228056028,264.33920519672085,196.3898376237085,246.37970266439223,210.32956065464543,40.0,165.44702592936505,162.8680845953025,False,False,False,False,False,28.0
61,59,327.7203284802666,250.21429269125923,502.42287643562145,247.75542333229257,62.71830507711939,178.45414740797662,96.22452159328937,163.79409037648512,76.02282101332335,54.77651660089732,49.384335236925835,22.905900677370795,264.33920519672085,198.3414772964898,246.37970266439223,212.4905677689913,40.0,165.44702592936505,162.21760944441996,False,False,False,False,False,28.0
62,60,327.7203284802666,255.17806148896074,502.42287643562145,249.10337543040868,62.5184260919778,178.45414740797662,96.73082391890908,163.79409037648512,77.88414883753639,54.74303502825841,49.384335236925835,21.45055335178307,264.33920519672085,198.27560607779574,246.37970266439223,210.7409529164429,40.0,165.44702592936505,164.39670624050112,False,False,False,False,False,28.0
63,61,327.7203284802666,252.71696865145964,502.42287643562145,244.09507127614518,62.61752835857143,178.45414740797662,92.70724612697944,163.79409037648512,78.97764083985727,55.00911263701498,49.384335236925835,21.536531761999708,264.33920519672085,197.87477699882572,246.37970266439223,211.85037373194325,40.0,165.44702592936505,167.9233174771987,False,False,False,False,False,28.0
64,62,327.7203284802666,254.1047120464122,502.42287643562145,246.83837015903848,62.56164728257359,178.45414740797662,95.93129334496949,163.79409037648512,78.69373463700325,54.795907669038044,49.384335236925835,20.135205135113882,264.33920519672085,199.00032857136148,246.37970266439223,211.04379010185897,40.0,165.44702592936505,166.51092866406907,False,False,False,False,False,28.0
65,63,327.7203284802666,250.56734821988076,502.42287643562145,247.61898748509944,62.70408838338616,178.45414740797662,91.03443609113322,163.79409037648512,76.78585139520108,55.119734903380674,49.384335236925835,19.78447653555141,264.33920519672085,194.99441791297124,246.37970266439223,210.48697610653028,40.0,165.44702592936505,156.93740687870778,False,False,False,False,False,28.0
